Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,PKM13EPYH4000-A0,1,Buzzer,
"C1, C16, C6",CP_Radial_D5.0mm_P2.50mm,3,100u,
"C10, C11, C2, C3, C9",0603,5,100n,
"C12, C8",0603,2,470p,
"C13, C14, C4, C7",0603,4,0.1u,
"C15, C17, C5",0805,3,10u,
D1,D_SOD-123,1,MMSZ4684-TP,
D2,D_SOD-123F,1,GS1010FL,
FB1,0603,1,FerriteBead_Small,
"IC1, IC2, IC3, IC4",BSO220N03MD,4,BSO220,
J1,Molex_Micro-Latch_53253-0670_1x06_P2.00mm_Vertical,1,ADC4ch,
J2,Molex_Micro-Latch_53253-0570_1x05_P2.00mm_Vertical,1,Extra2ch+LED,
J3,Molex_Micro-Latch_53253-0470_1x04_P2.00mm_Vertical,1,Encoder1,
J4,Molex_Micro-Latch_53253-0470_1x04_P2.00mm_Vertical,1,Encoder2,
J5,Molex_Micro-Latch_53253-0470_1x04_P2.00mm_Vertical,1,I2C,
J6,IL-G_2P,1,Battery,
J7,CONN_B02B-PASKLFSN_JST,1,Motor1,
J8,CONN_B02B-PASKLFSN_JST,1,Motor2,
Q2,SOT-23,1,IRLML6344,
"R1, R21, R3",0603,3,470,
"R10, R16, R19, R20, R22, R23, R24, R25, R9",0603,9,10k,
"R11, R12, R13",0603,3,4.7k,
"R14, R17, R8",0603,3,47k,
"R15, R18",0603,2,33k,
R2,0603,1,1.8k,
"R4, R5, R6",0603,3,1k,
R7,0603,1,30,
SW1,2MS1-T1-B4-VS2-Q-E-S,1,BatterySW,
"SW2, SW3",TVDT18-050C,2,SW_Push,
"U1, U2",A4955GLPTR-T,2,A4955GLPTR-T,
U3,QFN40P300X300X95-25N-D,1,MPU-6500,
U4,MODULE_NUCLEO-F303K8,1,NUCLEO-F303K8,
