Designator,Mid X,Mid Y,Rotation,Layer
BZ1,49.8315,-26.2,0.0,top
C1,15.824,-11.722,90.0,top
C10,40.6652,-2.7304,270.0,bottom
C11,50.622,-4.783791,90.0,top
C12,30.556,-4.799113,90.0,top
C13,52.8572,-7.15,270.0,bottom
C14,47.828,-16.7512,270.0,top
C15,19.253,-22.517,0.0,bottom
C16,19.253,-25.565,0.0,bottom
C17,19.253,-27.089,0.0,bottom
C2,31.7752,-28.486,270.0,top
C3,41.6812,-28.486,270.0,top
C4,19.126,-32.296,270.0,top
C5,28.8796,-14.008,90.0,top
C6,30.9624,-14.008,90.0,top
C7,37.922,-14.008,90.0,top
C8,40.081,-14.008,90.0,top
C9,28.3208,-7.3024,270.0,bottom
D1,53.4414,-23.1266,0.0,bottom
D2,21.1072,-33.1596,270.0,top
FB1,20.523,-11.722,270.0,top
IC1,32.3086,-10.7822,90.0,bottom
IC2,37.8966,-10.7822,90.0,bottom
IC3,43.4846,-10.7822,90.0,bottom
IC4,49.0726,-10.7822,90.0,bottom
J1,29.858,-47.282,0.0,top
J2,29.858,-41.44,0.0,top
J3,4.5972,-21.9074,0.0,top
J4,44.6276,-47.3328,90.0,top
J5,50.4188,-47.3328,90.0,top
J6,35.656,-5.0373,180.0,top
J7,43.022,-5.0373,180.0,top
J8,56.5656,-15.4304,270.0,top
Q1,44.526,-34.9884,270.0,top
Q2,33.9088,-34.9884,270.0,top
Q3,30.3884,-34.9884,270.0,top
Q4,41.0208,-34.9884,270.0,top
Q5,37.4648,-34.9884,270.0,top
R1,14.3,-11.722,270.0,top
R10,30.2004,-28.486,90.0,top
R11,38.5316,-28.486,90.0,top
R12,47.5486,-22.9742,180.0,bottom
R13,44.526,-37.7824,0.0,top
R14,44.526,-32.1944,0.0,top
R15,52.2984,-37.122,90.0,top
R16,55.3464,-37.122,90.0,top
R17,53.8224,-37.122,90.0,top
R18,56.8704,-37.122,90.0,top
R19,30.3884,-32.2175,0.0,top
R2,16.078,-32.296,90.0,top
R20,37.4648,-32.2452,0.0,top
R21,33.9088,-32.1944,0.0,top
R22,41.0838,-32.2452,0.0,top
R23,19.253,-24.041,180.0,bottom
R24,18.872,-11.722,270.0,top
R25,17.348,-11.722,90.0,top
R26,14.554,-32.296,90.0,top
R27,13.03,-32.296,90.0,top
R28,19.253,-28.8924,180.0,bottom
R3,17.602,-32.296,270.0,top
R4,33.35,-28.486,270.0,top
R5,40.1064,-28.486,270.0,top
R6,34.9248,-28.486,270.0,top
R7,43.256,-28.486,270.0,top
R8,36.4996,-28.486,90.0,top
R9,44.8308,-28.486,90.0,top
SW1,4.0,-11.0,90.0,top
SW2,4.0,-39.0,90.0,top
SW3,55.4988,-9.8932,180.0,top
U1,32.08,-20.358,90.0,top
U2,40.843,-20.358,90.0,top
U3,14.046,-25.438,270.0,bottom
U4,17.348,-27.0,0.0,top
